Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Erling Haaland,Manchester City,NOR,FW,198.8,128.08
Alex Palmer,Ipswich Town,ENG,GK,115.4,115.4
Cole Palmer,Chelsea,ENG,MF,115.4,99.91
Omar Marmoush,Manchester City,EGY,FW,79.1,96.44
Sávio,Manchester City,BRA,FW,74.8,95.87
Ryan Gravenberch,Liverpool,NED,MF,85.3,88.37
Jeremy Doku,Manchester City,BEL,FW,66.2,81.79
Moisés Caicedo,Chelsea,ECU,MF,80.7,80.7
Phil Foden,Manchester City,ENG,MF,105.7,79.37
Joško Gvardiol,Manchester City,CRO,DF,78.7,78.7
Martin Ødegaard,Arsenal,NOR,MF,126.5,78.35
Nicolas Jackson,Chelsea,SEN,FW,66.2,76.99
Enzo Fernández,Chelsea,ARG,MF,73.7,74.43
Ethan Nwaneri,Arsenal,ENG,FW,74.3,74.13
Bukayo Saka,Arsenal,ENG,FW,101.3,73.76
Dominik Szoboszlai,Liverpool,HUN,MF,71.4,71.4
Kai Havertz,Arsenal,GER,FW,70.5,70.69
Lucas Paquetá,West Ham,BRA,MF,71.2,70.43
Morgan Rogers,Aston Villa,ENG,FW,69.0,68.8
Kobbie Mainoo,Manchester Utd,ENG,MF,66.0,68.76
Leny Yoro,Manchester Utd,FRA,DF,71.0,68.35
Bruno Guimarães,Newcastle Utd,BRA,MF,83.2,68.34
Noni Madueke,Chelsea,ENG,FW,51.6,67.11
Diogo Dalot,Manchester Utd,POR,DF,37.4,66.92
Gabriel Magalhães,Arsenal,BRA,DF,75.5,66.59
William Saliba,Arsenal,FRA,DF,79.5,65.07
Alexis Mac Allister,Liverpool,ARG,MF,106.1,63.47
Curtis Jones,Liverpool,ENG,MF,61.7,63.31
Murillo,Nott'ham Forest,BRA,DF,68.4,63.1
Gabriel Martinelli,Arsenal,BRA,FW,62.6,62.96
Rico Lewis,Manchester City,ENG,DF,62.7,62.93
Cody Gakpo,Liverpool,NED,FW,67.5,61.86
Declan Rice,Arsenal,ENG,MF,107.8,61.83
Milos Kerkez,Bournemouth,HUN,DF,61.5,61.5
Ollie Watkins,Aston Villa,ENG,FW,61.4,61.2
Mohamed Salah,Liverpool,EGY,FW,38.5,61.12
Archie Gray,Tottenham,ENG,DF,58.2,61.01
Matheus Nunes,Manchester City,POR,DF,42.3,60.22
Jack Grealish,Manchester City,ENG,FW,43.5,60.21
Mads Hermansen,Leicester City,DEN,GK,19.8,59.74
Liam Delap,Ipswich Town,ENG,FW,37.0,59.11
Darwin Núñez,Liverpool,URU,FW,60.9,59.07
Matthijs de Ligt,Manchester Utd,NED,DF,52.2,59.02
