Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Gls,Ast,crdY,crdR,xG,xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,xG per 90,xAG per 90,GA90,Save%,CS%,PK Save%,SoT%,SoT per 90,G per Sh,Dist,Cmp,Cmp%,TotDist,ShortCmp%,MedCmp%,LongCmp%,KP,Pass into 1_3,PPA,CrsPA,SCA,SCA90,GCA,GCA90,Tkl,TklW,Deff Att,Lost,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Take-Ons Att,Succ%,Tkld%,Carries,ProDist,Carries 1_3,CPA,Mis,Dis,Rec,Rec PrgR,Fls,Fld,Off,Crs,Recov,Aerl Won,Aerl Lost,Aerl Won%
Aaron Cresswell,ENG,West Ham,DF,35.39,15,8,676,0,0,2,0,0.1,1.1,4,28,2,0.0,0.0,0.01,0.15,N/A,N/A,N/A,N/A,0.0,0.0,0.0,29.8,415,81.5,7803,91.7,87.4,53.1,7,43,4,1,12.0,1.6,0.0,0.0,9,5,9,2,9,4,5,8,576,39,227,281,73,1,2,50.0,50.0,228,398,7,0,3,0,353,2,3,2,0,28,29,7,6,53.8
Aaron Ramsdale,ENG,Southampton,GK,26.98,27,27,2430,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.3,67.1,7.4,28.6,N/A,0.0,N/A,N/A,715,64.6,20052,99.5,96.2,38.6,0,33,1,0,3.0,0.11,0.0,0.0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/A,N/A,723,2159,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27.44,33,32,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,N/A,N/A,N/A,N/A,31.3,0.16,0.13,15.1,1321,80.5,18817,89.9,81.1,46.0,30,89,32,11,85.0,2.65,8.0,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,59,13,31,21,1174,150,22,25,4,70,163,22,30,42.3
Abdoulaye Doucouré,MLI,Everton,MF,32.34,30,29,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/A,N/A,N/A,N/A,31.0,0.33,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,54.0,2.0,2.0,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Abdukodir Khusanov,UZB,Manchester City,DF,21.18,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,N/A,N/A,N/A,N/A,0.0,0.0,0.0,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,5.0,0.89,0.0,0.0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,21.16,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,N/A,N/A,N/A,N/A,38.5,0.78,0.0,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,17.0,2.64,3.0,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Armstrong,ENG,Southampton,"FW,MF",28.23,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/A,N/A,N/A,N/A,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,19.0,1.37,4.0,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Lallana,ENG,Southampton,MF,36.99,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,N/A,N/A,N/A,N/A,0.0,0.0,0.0,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,9.0,2.24,2.0,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Smith,ENG,Bournemouth,DF,34.02,22,17,1409,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/A,N/A,N/A,N/A,0.0,0.0,0.0,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,20.0,1.28,2.0,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0
Adam Webster,ENG,Brighton,DF,30.33,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,N/A,N/A,N/A,N/A,100.0,0.15,0.0,15.3,429,85.6,7934,95.5,91.8,50.6,3,32,2,0,10.0,1.46,3.0,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
